Team,Elo Rating
Kansas City Royals,1510.9185791015625
Minnesota Twins,1510.603271484375
Philadelphia Phillies,1510.5458984375
Chicago Cubs,1510.5108642578125
Detroit Tigers,1510.408203125
San Diego Padres,1510.3707275390625
Seattle Mariners,1510.3250732421875
Los Angeles Dodgers,1510.2867431640625
New York Yankees,1510.219482421875
San Francisco Giants,1510.197998046875
New York Mets,1510.08837890625
St. Louis Cardinals,1509.897216796875
Houston Astros,1509.8314208984375
Cleveland Guardians,1509.7601318359375
Tampa Bay Rays,1493.5291748046875
Arizona Diamondbacks,1492.6065673828125
Boston Red Sox,1492.301513671875
Cincinnati Reds,1491.8895263671875
Los Angeles Angels,1490.982666015625
Toronto Blue Jays,1490.33251953125
Atlanta Braves,1490.2945556640625
Milwaukee Brewers,1489.84326171875
Washington Nationals,1489.7698974609375
Baltimore Orioles,1489.746337890625
Colorado Rockies,1489.578857421875
Miami Marlins,1489.549072265625
Chicago White Sox,1489.527099609375
Pittsburgh Pirates,1489.520751953125
Athletics,1489.3648681640625
Texas Rangers,1489.100830078125
