Date,Home Team,Away Team,Home Score,Away Score
2025-03-18T10:10:00Z,Chicago Cubs,Los Angeles Dodgers,1,4
2025-03-19T10:10:00Z,Chicago Cubs,Los Angeles Dodgers,3,6
2025-03-27T19:05:00Z,New York Yankees,Milwaukee Brewers,4,2
2025-03-27T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,2,12
2025-03-27T20:05:00Z,Texas Rangers,Boston Red Sox,2,5
2025-03-27T20:05:00Z,Washington Nationals,Philadelphia Phillies,3,7
2025-03-27T20:10:00Z,Kansas City Royals,Cleveland Guardians,4,7
2025-03-27T20:10:00Z,Houston Astros,New York Mets,3,1
2025-03-27T20:10:00Z,Cincinnati Reds,San Francisco Giants,4,6
2025-03-27T20:10:00Z,San Diego Padres,Atlanta Braves,7,4
2025-03-27T20:10:00Z,Chicago White Sox,Los Angeles Angels,8,1
2025-03-27T20:10:00Z,Miami Marlins,Pittsburgh Pirates,5,4
2025-03-27T20:15:00Z,St. Louis Cardinals,Minnesota Twins,5,3
2025-03-27T23:10:00Z,Los Angeles Dodgers,Detroit Tigers,5,4
2025-03-28T02:10:00Z,Arizona Diamondbacks,Chicago Cubs,6,10
2025-03-28T02:10:00Z,Seattle Mariners,Athletics,4,2
2025-03-28T20:10:00Z,Tampa Bay Rays,Colorado Rockies,3,2
2025-03-28T23:07:00Z,Toronto Blue Jays,Baltimore Orioles,8,2
2025-03-28T23:10:00Z,Miami Marlins,Pittsburgh Pirates,3,4
2025-03-29T00:05:00Z,Texas Rangers,Boston Red Sox,4,1
2025-03-29T00:10:00Z,Houston Astros,New York Mets,1,3
2025-03-29T01:40:00Z,Arizona Diamondbacks,Chicago Cubs,8,1
2025-03-29T01:40:00Z,Seattle Mariners,Athletics,0,7
2025-03-29T01:40:00Z,San Diego Padres,Atlanta Braves,4,3
2025-03-29T02:10:00Z,Los Angeles Dodgers,Detroit Tigers,8,5
2025-03-29T17:05:00Z,New York Yankees,Milwaukee Brewers,20,9
2025-03-29T18:10:00Z,Chicago White Sox,Los Angeles Angels,0,1
2025-03-29T18:15:00Z,St. Louis Cardinals,Minnesota Twins,5,1
2025-03-29T19:07:00Z,Toronto Blue Jays,Baltimore Orioles,5,9
