Team,Wins,Losses,Division Rank,Division Name
New York Yankees,42,30,1,AL East
Tampa Bay Rays,40,33,2,AL East
Toronto Blue Jays,39,33,3,AL East
Boston Red Sox,38,37,4,AL East
Baltimore Orioles,31,41,5,AL East
Detroit Tigers,47,27,1,AL Central
Cleveland Guardians,36,35,2,AL Central
Minnesota Twins,36,36,3,AL Central
Kansas City Royals,35,38,4,AL Central
Chicago White Sox,23,50,5,AL Central
Houston Astros,42,31,1,AL West
Seattle Mariners,37,35,2,AL West
Texas Rangers,36,37,3,AL West
Los Angeles Angels,35,37,4,AL West
Athletics,30,45,5,AL West
New York Mets,45,28,1,NL East
Philadelphia Phillies,43,30,2,NL East
Atlanta Braves,32,39,3,NL East
Washington Nationals,30,43,4,NL East
Miami Marlins,29,42,5,NL East
Chicago Cubs,45,28,1,NL Central
Milwaukee Brewers,39,35,2,NL Central
Cincinnati Reds,38,35,3,NL Central
St. Louis Cardinals,38,35,4,NL Central
Pittsburgh Pirates,29,45,5,NL Central
Los Angeles Dodgers,45,29,1,NL West
San Francisco Giants,41,32,2,NL West
San Diego Padres,39,33,3,NL West
Arizona Diamondbacks,36,36,4,NL West
Colorado Rockies,16,57,5,NL West
