Home Team,Away Team,Winner,Home Win
Tampa Bay Rays,Colorado Rockies,Tampa Bay Rays,True
Toronto Blue Jays,Baltimore Orioles,Baltimore Orioles,False
Miami Marlins,Pittsburgh Pirates,Miami Marlins,True
Texas Rangers,Boston Red Sox,Boston Red Sox,False
Houston Astros,New York Mets,Houston Astros,True
Arizona Diamondbacks,Chicago Cubs,Arizona Diamondbacks,True
Seattle Mariners,Athletics,Athletics,False
San Diego Padres,Atlanta Braves,San Diego Padres,True
Los Angeles Dodgers,Detroit Tigers,Los Angeles Dodgers,True
New York Yankees,Milwaukee Brewers,New York Yankees,True
Chicago White Sox,Los Angeles Angels,Chicago White Sox,True
St. Louis Cardinals,Minnesota Twins,St. Louis Cardinals,True
Toronto Blue Jays,Baltimore Orioles,Toronto Blue Jays,True
Washington Nationals,Philadelphia Phillies,Philadelphia Phillies,False
Kansas City Royals,Cleveland Guardians,Cleveland Guardians,False
Cincinnati Reds,San Francisco Giants,Cincinnati Reds,True
Tampa Bay Rays,Colorado Rockies,Tampa Bay Rays,True
Miami Marlins,Pittsburgh Pirates,Miami Marlins,True
Texas Rangers,Boston Red Sox,Texas Rangers,True
Houston Astros,New York Mets,New York Mets,False
San Diego Padres,Atlanta Braves,San Diego Padres,True
Arizona Diamondbacks,Chicago Cubs,Chicago Cubs,False
Los Angeles Dodgers,Detroit Tigers,Detroit Tigers,False
Seattle Mariners,Athletics,Seattle Mariners,True
Washington Nationals,Philadelphia Phillies,Philadelphia Phillies,False
New York Yankees,Milwaukee Brewers,Milwaukee Brewers,False
Toronto Blue Jays,Baltimore Orioles,Toronto Blue Jays,True
Cincinnati Reds,San Francisco Giants,Cincinnati Reds,True
Tampa Bay Rays,Colorado Rockies,Tampa Bay Rays,True
Miami Marlins,Pittsburgh Pirates,Pittsburgh Pirates,False
Kansas City Royals,Cleveland Guardians,Cleveland Guardians,False
Chicago White Sox,Los Angeles Angels,Los Angeles Angels,False
St. Louis Cardinals,Minnesota Twins,St. Louis Cardinals,True
Texas Rangers,Boston Red Sox,Texas Rangers,True
Arizona Diamondbacks,Chicago Cubs,Chicago Cubs,False
Seattle Mariners,Athletics,Seattle Mariners,True
San Diego Padres,Atlanta Braves,San Diego Padres,True
Chicago White Sox,Minnesota Twins,Chicago White Sox,True
Milwaukee Brewers,Kansas City Royals,Milwaukee Brewers,True
Baltimore Orioles,Boston Red Sox,Boston Red Sox,False
Philadelphia Phillies,Colorado Rockies,Philadelphia Phillies,True
Cincinnati Reds,Texas Rangers,Texas Rangers,False
Miami Marlins,New York Mets,Miami Marlins,True
Tampa Bay Rays,Pittsburgh Pirates,Pittsburgh Pirates,False
Toronto Blue Jays,Washington Nationals,Toronto Blue Jays,True
St. Louis Cardinals,Los Angeles Angels,Los Angeles Angels,False
Houston Astros,San Francisco Giants,Houston Astros,True
San Diego Padres,Cleveland Guardians,San Diego Padres,True
Seattle Mariners,Detroit Tigers,Detroit Tigers,False
Athletics,Chicago Cubs,Athletics,True
Los Angeles Dodgers,Atlanta Braves,Los Angeles Dodgers,True
Cincinnati Reds,Texas Rangers,Texas Rangers,False
Miami Marlins,New York Mets,New York Mets,False
Tampa Bay Rays,Pittsburgh Pirates,Pittsburgh Pirates,False
New York Yankees,Arizona Diamondbacks,Arizona Diamondbacks,False
Toronto Blue Jays,Washington Nationals,Toronto Blue Jays,True
Chicago White Sox,Minnesota Twins,Minnesota Twins,False
Milwaukee Brewers,Kansas City Royals,Milwaukee Brewers,True
St. Louis Cardinals,Los Angeles Angels,St. Louis Cardinals,True
Houston Astros,San Francisco Giants,San Francisco Giants,False
San Diego Padres,Cleveland Guardians,San Diego Padres,True
Seattle Mariners,Detroit Tigers,Detroit Tigers,False
Athletics,Chicago Cubs,Athletics,True
Los Angeles Dodgers,Atlanta Braves,Los Angeles Dodgers,True
Cincinnati Reds,Texas Rangers,Cincinnati Reds,True
Tampa Bay Rays,Pittsburgh Pirates,Pittsburgh Pirates,False
Milwaukee Brewers,Kansas City Royals,Kansas City Royals,False
St. Louis Cardinals,Los Angeles Angels,Los Angeles Angels,False
Chicago White Sox,Minnesota Twins,Minnesota Twins,False
Toronto Blue Jays,Washington Nationals,Toronto Blue Jays,True
Athletics,Chicago Cubs,Chicago Cubs,False
San Diego Padres,Cleveland Guardians,Cleveland Guardians,False
Seattle Mariners,Detroit Tigers,Detroit Tigers,False
Houston Astros,San Francisco Giants,Houston Astros,True
Miami Marlins,New York Mets,Miami Marlins,True
Baltimore Orioles,Boston Red Sox,Baltimore Orioles,True
Philadelphia Phillies,Colorado Rockies,Philadelphia Phillies,True
New York Yankees,Arizona Diamondbacks,New York Yankees,True
Los Angeles Dodgers,Atlanta Braves,Los Angeles Dodgers,True
Baltimore Orioles,Boston Red Sox,Boston Red Sox,False
Philadelphia Phillies,Colorado Rockies,Philadelphia Phillies,True
Minnesota Twins,Houston Astros,Houston Astros,False
New York Yankees,Arizona Diamondbacks,New York Yankees,True
Milwaukee Brewers,Cincinnati Reds,Cincinnati Reds,False
Detroit Tigers,Chicago White Sox,Detroit Tigers,True
Boston Red Sox,St. Louis Cardinals,St. Louis Cardinals,False
Chicago Cubs,San Diego Padres,Chicago Cubs,True
New York Mets,Toronto Blue Jays,New York Mets,True
Colorado Rockies,Athletics,Athletics,False
Pittsburgh Pirates,New York Yankees,Pittsburgh Pirates,True
San Francisco Giants,Seattle Mariners,San Francisco Giants,True
Washington Nationals,Arizona Diamondbacks,Arizona Diamondbacks,False
Philadelphia Phillies,Los Angeles Dodgers,Los Angeles Dodgers,False
Atlanta Braves,Miami Marlins,Atlanta Braves,True
Kansas City Royals,Baltimore Orioles,Baltimore Orioles,False
Texas Rangers,Tampa Bay Rays,Texas Rangers,True
Milwaukee Brewers,Cincinnati Reds,Milwaukee Brewers,True
Los Angeles Angels,Cleveland Guardians,Los Angeles Angels,True
Detroit Tigers,Chicago White Sox,Chicago White Sox,False
Minnesota Twins,Houston Astros,Houston Astros,False
Chicago Cubs,San Diego Padres,Chicago Cubs,True
Washington Nationals,Arizona Diamondbacks,Arizona Diamondbacks,False
Philadelphia Phillies,Los Angeles Dodgers,Los Angeles Dodgers,False
Pittsburgh Pirates,New York Yankees,New York Yankees,False
Kansas City Royals,Baltimore Orioles,Kansas City Royals,True
Texas Rangers,Tampa Bay Rays,Texas Rangers,True
New York Mets,Toronto Blue Jays,Toronto Blue Jays,False
Milwaukee Brewers,Cincinnati Reds,Milwaukee Brewers,True
Atlanta Braves,Miami Marlins,Atlanta Braves,True
Colorado Rockies,Athletics,Colorado Rockies,True
San Francisco Giants,Seattle Mariners,San Francisco Giants,True
Los Angeles Angels,Cleveland Guardians,Los Angeles Angels,True
Boston Red Sox,St. Louis Cardinals,Boston Red Sox,True
Washington Nationals,Arizona Diamondbacks,Arizona Diamondbacks,False
Boston Red Sox,St. Louis Cardinals,Boston Red Sox,True
Boston Red Sox,St. Louis Cardinals,Boston Red Sox,True
Philadelphia Phillies,Los Angeles Dodgers,Los Angeles Dodgers,False
Pittsburgh Pirates,New York Yankees,New York Yankees,False
New York Mets,Toronto Blue Jays,New York Mets,True
Detroit Tigers,Chicago White Sox,Chicago White Sox,False
Kansas City Royals,Baltimore Orioles,Kansas City Royals,True
Minnesota Twins,Houston Astros,Houston Astros,False
Milwaukee Brewers,Cincinnati Reds,Milwaukee Brewers,True
Chicago Cubs,San Diego Padres,Chicago Cubs,True
Texas Rangers,Tampa Bay Rays,Texas Rangers,True
Colorado Rockies,Athletics,Athletics,False
San Francisco Giants,Seattle Mariners,San Francisco Giants,True
Los Angeles Angels,Cleveland Guardians,Los Angeles Angels,True
Atlanta Braves,Miami Marlins,Atlanta Braves,True
Detroit Tigers,New York Yankees,Detroit Tigers,True
Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals,False
Washington Nationals,Los Angeles Dodgers,Los Angeles Dodgers,False
Boston Red Sox,Toronto Blue Jays,Toronto Blue Jays,False
New York Mets,Miami Marlins,Miami Marlins,False
Chicago Cubs,Texas Rangers,Texas Rangers,False
Kansas City Royals,Minnesota Twins,Minnesota Twins,False
Arizona Diamondbacks,Baltimore Orioles,Baltimore Orioles,False
Seattle Mariners,Houston Astros,Seattle Mariners,True
San Francisco Giants,Cincinnati Reds,Cincinnati Reds,False
Athletics,San Diego Padres,San Diego Padres,False
Detroit Tigers,New York Yankees,New York Yankees,False
Cleveland Guardians,Chicago White Sox,Cleveland Guardians,True
New York Mets,Miami Marlins,New York Mets,True
Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals,False
Washington Nationals,Los Angeles Dodgers,Washington Nationals,True
Boston Red Sox,Toronto Blue Jays,Boston Red Sox,True
Tampa Bay Rays,Los Angeles Angels,Tampa Bay Rays,True
Atlanta Braves,Philadelphia Phillies,Atlanta Braves,True
Chicago Cubs,Texas Rangers,Texas Rangers,False
Kansas City Royals,Minnesota Twins,Kansas City Royals,True
Colorado Rockies,Milwaukee Brewers,Milwaukee Brewers,False
Arizona Diamondbacks,Baltimore Orioles,Baltimore Orioles,False
Seattle Mariners,Houston Astros,Houston Astros,False
San Francisco Giants,Cincinnati Reds,Cincinnati Reds,False
Athletics,San Diego Padres,Athletics,True
Pittsburgh Pirates,St. Louis Cardinals,St. Louis Cardinals,False
New York Mets,Miami Marlins,New York Mets,True
Detroit Tigers,New York Yankees,New York Yankees,False
Chicago Cubs,Texas Rangers,Chicago Cubs,True
Athletics,San Diego Padres,Athletics,True
Arizona Diamondbacks,Baltimore Orioles,Arizona Diamondbacks,True
San Francisco Giants,Cincinnati Reds,San Francisco Giants,True
Washington Nationals,Los Angeles Dodgers,Los Angeles Dodgers,False
Seattle Mariners,Houston Astros,Houston Astros,False
Cleveland Guardians,Chicago White Sox,Cleveland Guardians,True
Boston Red Sox,Toronto Blue Jays,Boston Red Sox,True
Tampa Bay Rays,Los Angeles Angels,Los Angeles Angels,False
Atlanta Braves,Philadelphia Phillies,Atlanta Braves,True
Kansas City Royals,Minnesota Twins,Kansas City Royals,True
Colorado Rockies,Milwaukee Brewers,Colorado Rockies,True
Tampa Bay Rays,Los Angeles Angels,Los Angeles Angels,False
Cleveland Guardians,Chicago White Sox,Cleveland Guardians,True
Kansas City Royals,Minnesota Twins,Minnesota Twins,False
Colorado Rockies,Milwaukee Brewers,Colorado Rockies,True
Boston Red Sox,Toronto Blue Jays,Boston Red Sox,True
Atlanta Braves,Philadelphia Phillies,Philadelphia Phillies,False
Cleveland Guardians,Kansas City Royals,Kansas City Royals,False
Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates,False
Tampa Bay Rays,Atlanta Braves,Tampa Bay Rays,True
New York Yankees,San Francisco Giants,San Francisco Giants,False
Miami Marlins,Washington Nationals,Miami Marlins,True
Chicago White Sox,Boston Red Sox,Chicago White Sox,True
Houston Astros,Los Angeles Angels,Los Angeles Angels,False
Minnesota Twins,Detroit Tigers,Minnesota Twins,True
St. Louis Cardinals,Philadelphia Phillies,Philadelphia Phillies,False
San Diego Padres,Colorado Rockies,San Diego Padres,True
Seattle Mariners,Texas Rangers,Texas Rangers,False
Arizona Diamondbacks,Milwaukee Brewers,Milwaukee Brewers,False
Athletics,New York Mets,Athletics,True
Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers,True
Baltimore Orioles,Toronto Blue Jays,Baltimore Orioles,True
Minnesota Twins,Detroit Tigers,Detroit Tigers,False
St. Louis Cardinals,Philadelphia Phillies,St. Louis Cardinals,True
New York Yankees,San Francisco Giants,New York Yankees,True
Athletics,New York Mets,New York Mets,False
Baltimore Orioles,Toronto Blue Jays,Toronto Blue Jays,False
Tampa Bay Rays,Atlanta Braves,Tampa Bay Rays,True
Chicago White Sox,Boston Red Sox,Chicago White Sox,True
Miami Marlins,Washington Nationals,Miami Marlins,True
Cleveland Guardians,Kansas City Royals,Cleveland Guardians,True
Cincinnati Reds,Pittsburgh Pirates,Pittsburgh Pirates,False
Houston Astros,Los Angeles Angels,Los Angeles Angels,False
Arizona Diamondbacks,Milwaukee Brewers,Arizona Diamondbacks,True
San Diego Padres,Colorado Rockies,San Diego Padres,True
Los Angeles Dodgers,Chicago Cubs,Chicago Cubs,False
Seattle Mariners,Texas Rangers,Texas Rangers,False
Baltimore Orioles,Toronto Blue Jays,Baltimore Orioles,True
New York Yankees,San Francisco Giants,New York Yankees,True
Cleveland Guardians,Kansas City Royals,Kansas City Royals,False
Cincinnati Reds,Pittsburgh Pirates,Cincinnati Reds,True
Tampa Bay Rays,Atlanta Braves,Tampa Bay Rays,True
Miami Marlins,Washington Nationals,Miami Marlins,True
Houston Astros,Los Angeles Angels,Houston Astros,True
Minnesota Twins,Detroit Tigers,Minnesota Twins,True
Chicago White Sox,Boston Red Sox,Boston Red Sox,False
St. Louis Cardinals,Philadelphia Phillies,St. Louis Cardinals,True
Athletics,New York Mets,New York Mets,False
San Diego Padres,Colorado Rockies,San Diego Padres,True
Seattle Mariners,Texas Rangers,Seattle Mariners,True
Arizona Diamondbacks,Milwaukee Brewers,Milwaukee Brewers,False
Los Angeles Dodgers,Chicago Cubs,Chicago Cubs,False
Pittsburgh Pirates,Washington Nationals,Pittsburgh Pirates,True
Philadelphia Phillies,San Francisco Giants,Philadelphia Phillies,True
Tampa Bay Rays,Boston Red Sox,Boston Red Sox,False
New York Yankees,Kansas City Royals,New York Yankees,True
Toronto Blue Jays,Atlanta Braves,Toronto Blue Jays,True
Minnesota Twins,New York Mets,Minnesota Twins,True
Milwaukee Brewers,Detroit Tigers,Detroit Tigers,False
St. Louis Cardinals,Houston Astros,St. Louis Cardinals,True
San Diego Padres,Chicago Cubs,San Diego Padres,True
Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,True
Pittsburgh Pirates,Washington Nationals,Pittsburgh Pirates,True
Cincinnati Reds,Seattle Mariners,Cincinnati Reds,True
Miami Marlins,Arizona Diamondbacks,Miami Marlins,True
Philadelphia Phillies,San Francisco Giants,Philadelphia Phillies,True
Baltimore Orioles,Cleveland Guardians,Baltimore Orioles,True
Tampa Bay Rays,Boston Red Sox,Tampa Bay Rays,True
New York Yankees,Kansas City Royals,New York Yankees,True
Toronto Blue Jays,Atlanta Braves,Toronto Blue Jays,True
Minnesota Twins,New York Mets,New York Mets,False
Chicago White Sox,Athletics,Athletics,False
Milwaukee Brewers,Detroit Tigers,Milwaukee Brewers,True
St. Louis Cardinals,Houston Astros,St. Louis Cardinals,True
Texas Rangers,Los Angeles Angels,Texas Rangers,True
San Diego Padres,Chicago Cubs,Chicago Cubs,False
Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,True
Toronto Blue Jays,Atlanta Braves,Toronto Blue Jays,True
Minnesota Twins,New York Mets,New York Mets,False
Milwaukee Brewers,Detroit Tigers,Detroit Tigers,False
St. Louis Cardinals,Houston Astros,St. Louis Cardinals,True
San Diego Padres,Chicago Cubs,San Diego Padres,True
Baltimore Orioles,Cleveland Guardians,Baltimore Orioles,True
Pittsburgh Pirates,Washington Nationals,Pittsburgh Pirates,True
Cincinnati Reds,Seattle Mariners,Seattle Mariners,False
Miami Marlins,Arizona Diamondbacks,Miami Marlins,True
Philadelphia Phillies,San Francisco Giants,Philadelphia Phillies,True
Tampa Bay Rays,Boston Red Sox,Boston Red Sox,False
New York Yankees,Kansas City Royals,Kansas City Royals,False
Chicago White Sox,Athletics,Athletics,False
Texas Rangers,Los Angeles Angels,Texas Rangers,True
Los Angeles Dodgers,Colorado Rockies,Los Angeles Dodgers,True
Miami Marlins,Arizona Diamondbacks,Arizona Diamondbacks,False
Pittsburgh Pirates,Washington Nationals,Washington Nationals,False
Cincinnati Reds,Seattle Mariners,Seattle Mariners,False
Chicago White Sox,Athletics,Athletics,False
Philadelphia Phillies,San Francisco Giants,Philadelphia Phillies,True
Baltimore Orioles,Cleveland Guardians,Cleveland Guardians,False
Detroit Tigers,Kansas City Royals,Detroit Tigers,True
Tampa Bay Rays,New York Yankees,Tampa Bay Rays,True
New York Mets,St. Louis Cardinals,St. Louis Cardinals,False
Texas Rangers,Los Angeles Angels,Los Angeles Angels,False
Chicago Cubs,Arizona Diamondbacks,Arizona Diamondbacks,False
Detroit Tigers,Kansas City Royals,Kansas City Royals,False
Pittsburgh Pirates,Cleveland Guardians,Pittsburgh Pirates,True
Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,True
Baltimore Orioles,Cincinnati Reds,Baltimore Orioles,True
Tampa Bay Rays,New York Yankees,Tampa Bay Rays,True
Toronto Blue Jays,Seattle Mariners,Toronto Blue Jays,True
New York Mets,St. Louis Cardinals,New York Mets,True
Boston Red Sox,Chicago White Sox,Boston Red Sox,True
Atlanta Braves,Minnesota Twins,Minnesota Twins,False
Texas Rangers,Los Angeles Dodgers,Los Angeles Dodgers,False
Houston Astros,San Diego Padres,San Diego Padres,False
Milwaukee Brewers,Athletics,Milwaukee Brewers,True
Los Angeles Angels,San Francisco Giants,San Francisco Giants,False
Colorado Rockies,Washington Nationals,Washington Nationals,False
Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,True
Detroit Tigers,Kansas City Royals,Detroit Tigers,True
Chicago Cubs,Arizona Diamondbacks,Chicago Cubs,True
Toronto Blue Jays,Seattle Mariners,Toronto Blue Jays,True
Baltimore Orioles,Cincinnati Reds,Baltimore Orioles,True
Pittsburgh Pirates,Cleveland Guardians,Cleveland Guardians,False
New York Mets,St. Louis Cardinals,New York Mets,True
Texas Rangers,Los Angeles Dodgers,Texas Rangers,True
Colorado Rockies,Washington Nationals,Washington Nationals,False
Boston Red Sox,Chicago White Sox,Boston Red Sox,True
Tampa Bay Rays,New York Yankees,Tampa Bay Rays,True
Houston Astros,San Diego Padres,Houston Astros,True
Milwaukee Brewers,Athletics,Milwaukee Brewers,True
Atlanta Braves,Minnesota Twins,Atlanta Braves,True
Los Angeles Angels,San Francisco Giants,San Francisco Giants,False
Baltimore Orioles,Cincinnati Reds,Baltimore Orioles,True
Pittsburgh Pirates,Cleveland Guardians,Pittsburgh Pirates,True
Atlanta Braves,Minnesota Twins,Atlanta Braves,True
Boston Red Sox,Chicago White Sox,Chicago White Sox,False
Philadelphia Phillies,Miami Marlins,Philadelphia Phillies,True
Toronto Blue Jays,Seattle Mariners,Toronto Blue Jays,True
Detroit Tigers,Kansas City Royals,Detroit Tigers,True
New York Mets,St. Louis Cardinals,New York Mets,True
Tampa Bay Rays,New York Yankees,Tampa Bay Rays,True
Milwaukee Brewers,Athletics,Milwaukee Brewers,True
Chicago Cubs,Arizona Diamondbacks,Arizona Diamondbacks,False
Texas Rangers,Los Angeles Dodgers,Los Angeles Dodgers,False
Colorado Rockies,Washington Nationals,Washington Nationals,False
Colorado Rockies,Washington Nationals,Colorado Rockies,True
Los Angeles Angels,San Francisco Giants,San Francisco Giants,False
Houston Astros,San Diego Padres,Houston Astros,True
Boston Red Sox,Chicago White Sox,Boston Red Sox,True
Cleveland Guardians,New York Yankees,New York Yankees,False
Detroit Tigers,San Diego Padres,Detroit Tigers,True
Miami Marlins,Cincinnati Reds,Cincinnati Reds,False
New York Mets,Philadelphia Phillies,Philadelphia Phillies,False
Atlanta Braves,St. Louis Cardinals,St. Louis Cardinals,False
Houston Astros,Toronto Blue Jays,Houston Astros,True
San Francisco Giants,Milwaukee Brewers,San Francisco Giants,True
Cleveland Guardians,New York Yankees,New York Yankees,False
Detroit Tigers,San Diego Padres,Detroit Tigers,True
