Team,Wins,Losses,Division Rank,Division Name
New York Yankees,100,62,1,AL East
Tampa Bay Rays,73,89,4,AL East
Toronto Blue Jays,84,79,2,AL East
Boston Red Sox,64,101,5,AL East
Baltimore Orioles,75,91,3,AL East
Detroit Tigers,95,68,2,AL Central
Minnesota Twins,96,68,1,AL Central
Cleveland Guardians,91,74,3,AL Central
Kansas City Royals,85,78,4,AL Central
Chicago White Sox,44,117,5,AL Central
Houston Astros,84,77,2,AL West
Seattle Mariners,83,78,3,AL West
Texas Rangers,75,86,4,AL West
Los Angeles Angels,88,73,1,AL West
Athletics,64,97,5,AL West
New York Mets,100,62,1,NL East
Philadelphia Phillies,96,67,2,NL East
Washington Nationals,76,88,3,NL East
Atlanta Braves,71,93,4,NL East
Miami Marlins,66,96,5,NL East
Chicago Cubs,104,55,1,NL Central
St. Louis Cardinals,96,70,2,NL Central
Milwaukee Brewers,92,69,3,NL Central
Cincinnati Reds,82,80,4,NL Central
Pittsburgh Pirates,69,92,5,NL Central
Los Angeles Dodgers,92,67,1,NL West
San Diego Padres,88,73,2,NL West
San Francisco Giants,86,75,3,NL West
Arizona Diamondbacks,78,83,4,NL West
Colorado Rockies,38,127,5,NL West
