Team A,Team B,Winner
New York Yankees,Los Angeles Dodgers,New York Yankees
New York Yankees,Detroit Tigers,New York Yankees
New York Yankees,Colorado Rockies,New York Yankees
New York Yankees,Chicago Cubs,New York Yankees
New York Yankees,Chicago White Sox,New York Yankees
New York Yankees,Milwaukee Brewers,New York Yankees
New York Yankees,Philadelphia Phillies,New York Yankees
New York Yankees,Miami Marlins,New York Yankees
New York Yankees,Cincinnati Reds,New York Yankees
New York Yankees,Toronto Blue Jays,New York Yankees
New York Yankees,San Francisco Giants,New York Yankees
New York Yankees,St. Louis Cardinals,New York Yankees
New York Yankees,Baltimore Orioles,New York Yankees
New York Yankees,Toronto Blue Jays,New York Yankees
New York Yankees,Kansas City Royals,New York Yankees
New York Yankees,St. Louis Cardinals,New York Yankees
New York Yankees,Toronto Blue Jays,New York Yankees
New York Yankees,Tampa Bay Rays,New York Yankees
New York Yankees,Kansas City Royals,New York Yankees
New York Yankees,Arizona Diamondbacks,New York Yankees
New York Yankees,Boston Red Sox,New York Yankees
New York Yankees,Kansas City Royals,New York Yankees
New York Yankees,Detroit Tigers,New York Yankees
New York Yankees,Minnesota Twins,New York Yankees
New York Yankees,Tampa Bay Rays,New York Yankees
New York Yankees,Washington Nationals,New York Yankees
New York Yankees,Detroit Tigers,New York Yankees
New York Yankees,Los Angeles Angels,New York Yankees
New York Yankees,Boston Red Sox,New York Yankees
New York Yankees,Washington Nationals,Washington Nationals
New York Yankees,Los Angeles Angels,Los Angeles Angels
New York Yankees,Cleveland Guardians,Cleveland Guardians
New York Yankees,Detroit Tigers,Detroit Tigers
New York Yankees,Cincinnati Reds,Cincinnati Reds
New York Yankees,San Diego Padres,San Diego Padres
New York Yankees,Philadelphia Phillies,Philadelphia Phillies
New York Yankees,Pittsburgh Pirates,Pittsburgh Pirates
New York Yankees,Toronto Blue Jays,Toronto Blue Jays
New York Yankees,Cincinnati Reds,Cincinnati Reds
New York Yankees,Baltimore Orioles,Baltimore Orioles
New York Yankees,Cincinnati Reds,Cincinnati Reds
New York Yankees,Arizona Diamondbacks,Arizona Diamondbacks
New York Yankees,St. Louis Cardinals,St. Louis Cardinals
New York Yankees,Atlanta Braves,Atlanta Braves
New York Yankees,Washington Nationals,Washington Nationals
New York Yankees,Tampa Bay Rays,Tampa Bay Rays
New York Yankees,Houston Astros,Houston Astros
New York Yankees,Philadelphia Phillies,Philadelphia Phillies
Toronto Blue Jays,Atlanta Braves,Toronto Blue Jays
Toronto Blue Jays,Tampa Bay Rays,Toronto Blue Jays
Toronto Blue Jays,Baltimore Orioles,Toronto Blue Jays
Toronto Blue Jays,Cincinnati Reds,Toronto Blue Jays
Toronto Blue Jays,Minnesota Twins,Toronto Blue Jays
Toronto Blue Jays,Boston Red Sox,Toronto Blue Jays
Toronto Blue Jays,San Diego Padres,Toronto Blue Jays
Toronto Blue Jays,Colorado Rockies,Toronto Blue Jays
Toronto Blue Jays,Arizona Diamondbacks,Toronto Blue Jays
Toronto Blue Jays,Cincinnati Reds,Toronto Blue Jays
Toronto Blue Jays,Milwaukee Brewers,Toronto Blue Jays
Toronto Blue Jays,Miami Marlins,Toronto Blue Jays
Toronto Blue Jays,San Francisco Giants,Toronto Blue Jays
Toronto Blue Jays,Milwaukee Brewers,Toronto Blue Jays
Toronto Blue Jays,Miami Marlins,Toronto Blue Jays
Toronto Blue Jays,Houston Astros,Toronto Blue Jays
Toronto Blue Jays,Detroit Tigers,Toronto Blue Jays
Toronto Blue Jays,Baltimore Orioles,Toronto Blue Jays
Toronto Blue Jays,Los Angeles Angels,Toronto Blue Jays
Toronto Blue Jays,Texas Rangers,Toronto Blue Jays
Toronto Blue Jays,Philadelphia Phillies,Toronto Blue Jays
Toronto Blue Jays,San Diego Padres,Toronto Blue Jays
Toronto Blue Jays,Washington Nationals,Toronto Blue Jays
Toronto Blue Jays,Los Angeles Angels,Toronto Blue Jays
Toronto Blue Jays,Los Angeles Angels,Los Angeles Angels
Toronto Blue Jays,Detroit Tigers,Detroit Tigers
Toronto Blue Jays,New York Yankees,New York Yankees
Toronto Blue Jays,Cincinnati Reds,Cincinnati Reds
Toronto Blue Jays,St. Louis Cardinals,St. Louis Cardinals
Toronto Blue Jays,Kansas City Royals,Kansas City Royals
Toronto Blue Jays,Colorado Rockies,Colorado Rockies
Toronto Blue Jays,Miami Marlins,Miami Marlins
Toronto Blue Jays,New York Yankees,New York Yankees
Toronto Blue Jays,New York Mets,New York Mets
Toronto Blue Jays,Colorado Rockies,Colorado Rockies
Toronto Blue Jays,New York Mets,New York Mets
Toronto Blue Jays,Milwaukee Brewers,Milwaukee Brewers
Toronto Blue Jays,Los Angeles Angels,Los Angeles Angels
Toronto Blue Jays,Atlanta Braves,Atlanta Braves
Toronto Blue Jays,New York Yankees,New York Yankees
Toronto Blue Jays,Boston Red Sox,Boston Red Sox
Toronto Blue Jays,Colorado Rockies,Colorado Rockies
Toronto Blue Jays,Chicago White Sox,Chicago White Sox
Toronto Blue Jays,Athletics,Athletics
Toronto Blue Jays,Milwaukee Brewers,Milwaukee Brewers
Toronto Blue Jays,Seattle Mariners,Seattle Mariners
Toronto Blue Jays,Milwaukee Brewers,Milwaukee Brewers
Toronto Blue Jays,Boston Red Sox,Boston Red Sox
Boston Red Sox,Milwaukee Brewers,Boston Red Sox
Boston Red Sox,Miami Marlins,Boston Red Sox
Boston Red Sox,Seattle Mariners,Boston Red Sox
Boston Red Sox,Washington Nationals,Boston Red Sox
Boston Red Sox,Milwaukee Brewers,Boston Red Sox
Boston Red Sox,Washington Nationals,Boston Red Sox
Boston Red Sox,Chicago Cubs,Boston Red Sox
Boston Red Sox,Houston Astros,Boston Red Sox
Boston Red Sox,Los Angeles Angels,Boston Red Sox
Boston Red Sox,San Francisco Giants,Boston Red Sox
Boston Red Sox,Minnesota Twins,Boston Red Sox
Boston Red Sox,Texas Rangers,Boston Red Sox
Boston Red Sox,Seattle Mariners,Boston Red Sox
Boston Red Sox,Texas Rangers,Boston Red Sox
Boston Red Sox,Milwaukee Brewers,Boston Red Sox
Boston Red Sox,Chicago Cubs,Boston Red Sox
Boston Red Sox,St. Louis Cardinals,Boston Red Sox
Boston Red Sox,Washington Nationals,Boston Red Sox
Boston Red Sox,Cleveland Guardians,Boston Red Sox
Boston Red Sox,San Diego Padres,Boston Red Sox
Boston Red Sox,Milwaukee Brewers,Boston Red Sox
Boston Red Sox,Cincinnati Reds,Boston Red Sox
Boston Red Sox,Cincinnati Reds,Boston Red Sox
Boston Red Sox,Arizona Diamondbacks,Boston Red Sox
Boston Red Sox,Toronto Blue Jays,Boston Red Sox
Boston Red Sox,Kansas City Royals,Kansas City Royals
Boston Red Sox,St. Louis Cardinals,St. Louis Cardinals
Boston Red Sox,Cleveland Guardians,Cleveland Guardians
Boston Red Sox,New York Yankees,New York Yankees
Boston Red Sox,Colorado Rockies,Colorado Rockies
Boston Red Sox,Texas Rangers,Texas Rangers
Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies
Boston Red Sox,Los Angeles Dodgers,Los Angeles Dodgers
Boston Red Sox,New York Mets,New York Mets
Boston Red Sox,Houston Astros,Houston Astros
Boston Red Sox,Detroit Tigers,Detroit Tigers
Boston Red Sox,Cincinnati Reds,Cincinnati Reds
Boston Red Sox,Washington Nationals,Washington Nationals
Boston Red Sox,Chicago White Sox,Chicago White Sox
Boston Red Sox,Athletics,Athletics
Boston Red Sox,Chicago Cubs,Chicago Cubs
Boston Red Sox,Minnesota Twins,Minnesota Twins
Boston Red Sox,Athletics,Athletics
Boston Red Sox,Athletics,Athletics
Boston Red Sox,Los Angeles Angels,Los Angeles Angels
Boston Red Sox,Toronto Blue Jays,Toronto Blue Jays
Boston Red Sox,St. Louis Cardinals,St. Louis Cardinals
Boston Red Sox,Chicago White Sox,Chicago White Sox
Boston Red Sox,Detroit Tigers,Detroit Tigers
Boston Red Sox,Minnesota Twins,Minnesota Twins
Boston Red Sox,Seattle Mariners,Seattle Mariners
Tampa Bay Rays,Chicago Cubs,Tampa Bay Rays
Tampa Bay Rays,Athletics,Tampa Bay Rays
Tampa Bay Rays,New York Mets,Tampa Bay Rays
Tampa Bay Rays,Cincinnati Reds,Tampa Bay Rays
Tampa Bay Rays,Baltimore Orioles,Tampa Bay Rays
Tampa Bay Rays,Colorado Rockies,Tampa Bay Rays
Tampa Bay Rays,Detroit Tigers,Tampa Bay Rays
Tampa Bay Rays,New York Yankees,Tampa Bay Rays
Tampa Bay Rays,San Francisco Giants,Tampa Bay Rays
Tampa Bay Rays,Cincinnati Reds,Tampa Bay Rays
Tampa Bay Rays,Colorado Rockies,Tampa Bay Rays
Tampa Bay Rays,San Francisco Giants,Tampa Bay Rays
Tampa Bay Rays,Los Angeles Angels,Tampa Bay Rays
Tampa Bay Rays,Arizona Diamondbacks,Tampa Bay Rays
Tampa Bay Rays,Philadelphia Phillies,Tampa Bay Rays
Tampa Bay Rays,St. Louis Cardinals,Tampa Bay Rays
Tampa Bay Rays,Detroit Tigers,Tampa Bay Rays
Tampa Bay Rays,Miami Marlins,Tampa Bay Rays
Tampa Bay Rays,Washington Nationals,Tampa Bay Rays
Tampa Bay Rays,San Francisco Giants,Tampa Bay Rays
Tampa Bay Rays,Houston Astros,Tampa Bay Rays
Tampa Bay Rays,New York Mets,Tampa Bay Rays
Tampa Bay Rays,Chicago White Sox,Tampa Bay Rays
Tampa Bay Rays,Washington Nationals,Washington Nationals
Tampa Bay Rays,Houston Astros,Houston Astros
Tampa Bay Rays,Atlanta Braves,Atlanta Braves
Tampa Bay Rays,Washington Nationals,Washington Nationals
Tampa Bay Rays,Washington Nationals,Washington Nationals
Tampa Bay Rays,Seattle Mariners,Seattle Mariners
Tampa Bay Rays,Baltimore Orioles,Baltimore Orioles
Tampa Bay Rays,Washington Nationals,Washington Nationals
Tampa Bay Rays,San Diego Padres,San Diego Padres
Tampa Bay Rays,Chicago White Sox,Chicago White Sox
Tampa Bay Rays,Washington Nationals,Washington Nationals
Tampa Bay Rays,San Diego Padres,San Diego Padres
Tampa Bay Rays,Colorado Rockies,Colorado Rockies
Tampa Bay Rays,Washington Nationals,Washington Nationals
Tampa Bay Rays,Colorado Rockies,Colorado Rockies
Tampa Bay Rays,Los Angeles Dodgers,Los Angeles Dodgers
Tampa Bay Rays,Kansas City Royals,Kansas City Royals
Tampa Bay Rays,Cincinnati Reds,Cincinnati Reds
Tampa Bay Rays,Atlanta Braves,Atlanta Braves
Tampa Bay Rays,Colorado Rockies,Colorado Rockies
Tampa Bay Rays,San Diego Padres,San Diego Padres
Tampa Bay Rays,Colorado Rockies,Colorado Rockies
Tampa Bay Rays,Cincinnati Reds,Cincinnati Reds
Tampa Bay Rays,Seattle Mariners,Seattle Mariners
Tampa Bay Rays,Boston Red Sox,Boston Red Sox
Tampa Bay Rays,New York Yankees,New York Yankees
Baltimore Orioles,New York Yankees,Baltimore Orioles
Baltimore Orioles,Chicago White Sox,Baltimore Orioles
Baltimore Orioles,St. Louis Cardinals,Baltimore Orioles
Baltimore Orioles,Houston Astros,Baltimore Orioles
Baltimore Orioles,Tampa Bay Rays,Baltimore Orioles
Baltimore Orioles,Atlanta Braves,Baltimore Orioles
